ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,392165,THE KINSHIP - HUNTER LAING MIXED PACK,6.96852E+11,0.7,6,49,9500,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,432176,ELIJAH CRAIG - TOASTED BARREL,96749002870,0.75,1,47,81.99,NA
Wine,France Wine,France White Wine,FRANCE,811232,PETIT CHABLIS - WILLIAM FEVRE 2018,3.44362E+12,0.75,1,13,31.99,0
Spirits,Vodka,Straight Vodka,CANADA,12989,SILENT SAM,6.22153E+11,1.14,1,40,33.49,NA
Refreshment Beverages,Coolers,Spirit Coolers,UNITED STATES OF AMERICA,59397,TRULY - LEMONADE MIX 12 CAN,87692009917,0.355,12,5,25.29,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,70813,CALIFORNIA RED - CARLO ROSSI,85000006986,1.5,1,12,14.99,1
Spirits,Vodka,Straight Vodka,UNITED STATES OF AMERICA,78176,FIFTH GENERATION - TITO'S HANDMADE VODKA 3L,6.19947E+11,3,1,40,199.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,92466,OLD FORESTER - 1870 ORIGINAL BATCH BOURBON,81128000707,0.75,1,45,67.99,NA
Wine,Sake,Japan Sake,JAPAN,124449,OKUNOMATSU - 300TH ANNIVERSARY SAKE,4.96484E+12,0.72,1,16,499.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,161305,CALIFORNIA RED - BLOSSOM HILL,80720930023,0.75,1,12.5,7.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,170928,WARRE'S - WARRIOR FINEST RESERVE,5.01087E+12,0.75,1,20,24.99,10
Wine,Fortified Wine,Port Wine,PORTUGAL,206508,GRAHAM - 10 YEAR OLD TAWNY,5.01087E+12,0.75,1,20,38.99,7
Wine,Canada - BC,Canada - BC Red Wine,CANADA,374108,SAWMILL CREEK - CABERNET SAUVIGNON,63657024126,4,1,12.5,34.49,0
Wine,France Wine,France Red Wine,FRANCE,390248,MAZIS CHAMBERTIN - DOMAINE FAIVELEY 2014,7.95898E+11,0.75,1,14,399.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,392561,LAPHROAIG - 10 YEAR OLD SHERRY OAK,80686813347,0.75,1,48,89.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,479805,ELIJAH CRAIG - BARREL PROOF,96749472215,0.75,1,68.3,134.99,NA
Wine,Italy Wine,Italy White Wine,ITALY,564674,PINOT GRIGIO DELLE VENEZIE - MASI MODELLO,8.00206E+12,0.75,1,12,14.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,9330,BASK - PINOT NOIR,63657042045,0.75,1,13,10.99,0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,46433,SHAFTEBURY - 15 PACK CAN,5.69103E+11,0.355,15,5,19.99,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,47173,LABATT - BUD LIGHT MANGO CAN,62067384103,0.355,12,4,25.49,NA
Wine,France Wine,France Red Wine,FRANCE,53442,PAUILLAC - CHATEAU D'ARMAILHAC 2018,,0.75,1,13,125,NA
Spirits,Tequila,Mezcal,MEXICO,78022,MONTELOBOS - MEZCAL JOVEN,83664872978,0.75,1,43.2,58.99,NA
Wine,France Wine,France Red Wine,FRANCE,126063,MARGAUX - CHATEAU MARGAUX 2016,3.60905E+12,0.75,1,13,1500,NA
Wine,Fortified Wine,Other Fortified Import Wine,AUSTRALIA,257998,EMU - AUSTRALIAN APERA MEDIUM DRY,9.31104E+12,0.75,1,17.5,10.99,3
Wine,France Wine,France Champagne Wine,FRANCE,268755,LOUIS ROEDERER - CRISTAL BRUT 2013,3.11408E+12,0.75,1,12,315.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,293696,SUMAC RIDGE - PRIVATE RESERVE PINOT GRIGIO 2020,63657031728,0.75,1,12.5,12.99,1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,641407,KEYSTONE - LAGER CAN,56327005976,0.355,15,4.9,20.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,643882,MERLOT - STERLING VINTNER'S COLLECTION,5.0101E+12,0.75,1,13.5,17.99,0
Wine,France Wine,France White Wine,FRANCE,735050,BLANC DE LYNCH BAGES 2014,,0.75,1,13,80,0
Wine,France Wine,France Rose Wine,FRANCE,799999,VAROIS EN PROVENCE ROSE - L'OPALINE 2020,8.55462E+11,0.75,1,13,26.99,0
Wine,Italy Wine,Italy White Wine,ITALY,19863,MAREMMA TOSCANA VERMENTINO - CECCHI LA MORA,8.00603E+12,0.75,1,12.5,14.97,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,49023,VINTAGE INK - REBEL RED 2020,63657033821,0.75,1,13,15.99,2
Spirits,Liqueurs,Fruit Liqueurs,CANADA,178012,TRIPLE SEC - HENKES,6.22153E+11,0.75,1,23,22.99,NA
Wine,France Wine,France Red Wine,FRANCE,178082,MARGAUX - CHATEAU BRANE-CANTENAC 2017,3.60905E+12,0.75,1,13,150,NA
Beer,Import Beer,Europe Beer,UNITED KINGDOM,191957,INNIS AND GUNN - THE ORIGINAL,5.06019E+12,0.33,6,6.6,15.99,NA
Wine,France Wine,France Red Wine,FRANCE,207277,BOURGOGNE - DOMAINE DES BEAUMONT PINOT NOIR 2016,3.76013E+12,0.75,1,12.5,46.99,0
Wine,France Wine,France Red Wine,FRANCE,216844,POMEROL - CHATEAU CLINET 2017,3.76007E+12,0.75,1,13,200,NA
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,275552,CHARDONNAY - RODNEY STRONG SONOMA CHALK HILL 2017,87512923256,0.75,1,14,29.99,0
Wine,France Wine,France Champagne Wine,FRANCE,524439,BILLECART SALMON - CUVEE NICOLAS FRANCOIS BILLECART 2002,3.11395E+12,0.75,1,12.5,285.99,0
Beer,Import Beer,Europe Beer,GERMANY,556720,WARSTEINER PREMIUM VERUM TALL CAN,82054132227,0.5,4,4.8,10.79,NA
Wine,France Wine,France Rose Wine,FRANCE,4113,PROVENCE ROSE - ROUBINE LA VIE EN ROSE 20,3.76011E+12,0.75,1,13,26.99,0
Wine,France Wine,France Red Wine,FRANCE,13560,COTEAUX BOURGUIGNONS - GEANTET PANSIOT 2018,3.76016E+12,0.75,1,11,31.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,36569,CABERNET SHIRAZ - YALUMBA THE CALEY COONAWARRA AND BAROSSA 2,9.31179E+12,0.75,1,14,499.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,41825,BRIDGE BREWING - CHALET ALL DAY HORCHATA BLONDE ALE TALL CAN,6.59154E+11,0.473,4,5,13.99,NA
Spirits,Asian Spirits,China Spirits,CHINA,44057,KWEICHOW MOUTAI YINGBIN CHIEW,6.90295E+12,0.5,1,53,76.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,66183,MICHTERS - US 1 SMALL BATCH BOURBON,39383007184,0.75,1,45.7,95.99,NA
Wine,France Wine,France Red Wine,FRANCE,90566,ST EMILION - CHATEAU CANON LA GAFFELIERE 2018,,0.75,1,13,200,NA
Spirits,Whisky,Flavoured Whisky,UNITED STATES OF AMERICA,94910,SHEEP DOG - PEANUT BUTTER WHISKEY,88004038687,0.375,1,35,13.99,NA
Wine,France Wine,France Red Wine,FRANCE,97496,ST EMILION - LE PETIT CHEVAL 2018,3.60905E+12,0.75,1,13,500,NA
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,122122,JACK DANIEL'S - SINGLE BARREL LIMITED EDITION NO. 1,8.08755E+11,0.75,1,47,59.99,NA
Wine,France Wine,France Red Wine,FRANCE,123910,PAUILLAC - CHATEAU LAFITE ROTHSCHILD MAGNUM 2000,6.2699E+11,1.5,1,12.5,8600,0
Spirits,Vodka,Straight Vodka,POLAND,132960,LUKSUSOWA - VODKA,5.90019E+12,1.75,1,40,51.99,NA
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,135789,BLACK FLY - GRAPEFRUIT GIN FIZZ CAN,8.83043E+11,0.355,6,6,12.79,NA
Wine,Portugal Wine,Portugal Red Wine,PORTUGAL,380766,LISBOA RESERVA - CASA SANTA LIMA CONFIDENCIAL,7.63956E+11,0.75,1,13.5,12.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,836957,CABERNET SAUVIGNON - FAMILIA ORUETA PUENTE NEGRO CENTRAL VLY,7.80439E+12,0.75,1,13,6.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,850628,DEVERON - 12 YEAR OLD,80480006143,0.75,1,40,64.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,39162,THE ARRAN MALT - KILDONAN AND PLADDA ISLAND,5.06004E+12,0.7,1,50.4,365,NA
Wine,Italy Wine,Italy White Wine,ITALY,61750,BIANCO - FRESCO DI MASI,8.00206E+12,0.75,1,11,19.99,0
Spirits,Tequila,Gold Tequila,MEXICO,89836,EL MAYOR - REPOSADO,88352124803,0.75,1,40,82.99,NA
Spirits,Whisky,Other Country Whisky,JAPAN,122116,SHINOBU - JAPANESE BLENDED WHISKY,4.52097E+12,0.75,1,43,69.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,158397,HIGHLAND PARK - VALFATHER,8.12066E+11,0.75,1,47,89.99,NA
Wine,Sake,Japan Sake,JAPAN,237090,CHIYOGIKU - SEISHU,4.96548E+12,0.72,1,15,19.99,NA
